TABLE_NAME	ORDINAL_POSITION	COLUMN_NAME	DATA_TYPE	CHARACTER_MAXIMUM_LENGTH	IS_NULLABLE	COLUMN_DEFAULT
Activities	1	activityID	int	NULL	NO	NULL
Activities	2	listID	int	NULL	NO	NULL
Activities	3	boolShow	bit	NULL	NO	NULL
Activities	4	activityName	varchar	100	NO	NULL
Activities	5	actAlias	varchar	100	YES	NULL
Activities	6	location	varchar	200	YES	NULL
Activities	7	maxParticipants	smallint	NULL	YES	NULL
Activities	8	boolWaitlist	bit	NULL	YES	NULL
Activities	9	partReserved	smallint	NULL	YES	NULL
Activities	10	date_start	smalldatetime	NULL	YES	NULL
Activities	11	time_from	char	4	YES	NULL
Activities	12	time_to	char	4	YES	NULL
Activities	13	boolOnlinePay	bit	NULL	NO	NULL
Activities	14	boolOnlineSignup	bit	NULL	NO	NULL
Activities	15	formID	int	NULL	YES	NULL
Activities	16	priceGroupID	int	NULL	YES	NULL
Activities	17	signup_from	smalldatetime	NULL	YES	NULL
Activities	18	signup_to	smalldatetime	NULL	YES	NULL
Activities	19	actDescription	varchar	5000	YES	NULL
Activities	20	boolSignupToMail	bit	NULL	YES	NULL
Activities	21	signupMailTo	varchar	50	YES	NULL
Activities	22	date_created	smalldatetime	NULL	NO	NULL
Activities	23	created_by	varchar	100	NO	NULL
Activities	24	boolVTG	bit	NULL	YES	NULL
Activities	25	boolVTGforward	bit	NULL	YES	NULL
Activities	26	payAccount	int	NULL	YES	NULL
Activities	27	boolMemberRequired	bit	NULL	YES	NULL
Activities	28	actLocation	varchar	200	YES	NULL
Activities	29	field_borrowEquipment	bit	NULL	YES	NULL
Activities_DateTime	1	activityID	int	NULL	NO	NULL
Activities_DateTime	2	actDate	date	NULL	NO	NULL
Activities_DateTime	3	time_from	varchar	5	YES	NULL
Activities_DateTime	4	time_to	varchar	5	YES	NULL
Activities_DateTime	5	actDay	tinyint	NULL	YES	NULL
Activities_List	1	listID	int	NULL	NO	NULL
Activities_List	2	depID	int	NULL	NO	NULL
Activities_List	3	sortnum	tinyint	NULL	NO	NULL
Activities_List	4	listname	varchar	100	NO	NULL
Activities_List	5	urlTitle	varchar	200	YES	NULL
Activities_List	6	listDescription	varchar	2000	YES	NULL
